Project_ID,Employee_ID,Similarity_Score,Rank,Department,Years_Experience,Location_Employee,Client_Name,Location_Project,Status,Required_Skills,Location_Match,Experience_Level,Similarity_Category,Recommendation_Strength
P398,E421,0.6271479650550942,1,AI Research,10.1,Pune,"Howell, Herrera and Torres",Mumbai,Open,devops practices iot jenkins,False,Senior,High,Good
P398,E549,0.5686056415034215,2,AI Research,9.5,Chennai,"Howell, Herrera and Torres",Mumbai,Open,devops practices iot jenkins,False,Senior,Medium,Good
P398,E261,0.536403024479805,3,Cloud Engineering,10.5,Delhi,"Howell, Herrera and Torres",Mumbai,Open,devops practices iot jenkins,False,Senior,Medium,Good
P398,E189,0.5164226944318293,4,DevOps,4.1,Pune,"Howell, Herrera and Torres",Mumbai,Open,devops practices iot jenkins,False,Mid-Level,Medium,Good
P398,E495,0.4627145747803767,5,Data Science,11.3,Pune,"Howell, Herrera and Torres",Mumbai,Open,devops practices iot jenkins,False,Senior,Medium,Good
P344,E966,0.788021973516561,1,DevOps,14.8,Delhi,Gray-Crawford,Delhi,Closed,net real-time data processing blockchain,True,Expert,High,Strong
P344,E359,0.7093576546611224,2,DevOps,4.1,Mumbai,Gray-Crawford,Delhi,Closed,net real-time data processing blockchain,False,Mid-Level,High,Good
P344,E478,0.6534030599392657,3,Data Science,9.8,Mumbai,Gray-Crawford,Delhi,Closed,net real-time data processing blockchain,False,Senior,High,Good
P344,E594,0.6190508146896945,4,Software Development,13.9,Pune,Gray-Crawford,Delhi,Closed,net real-time data processing blockchain,False,Expert,High,Good
P344,E471,0.6066794537143742,5,Data Science,7.2,Pune,Gray-Crawford,Delhi,Closed,net real-time data processing blockchain,False,Senior,High,Good
P351,E962,0.612011195900288,1,Cybersecurity,5.8,Chennai,"Peterson, Green and Greene",Pune,Closed,ci/cd blockchain scrum,False,Mid-Level,High,Good
P351,E975,0.4769942746100424,2,Cloud Engineering,3.5,Mumbai,"Peterson, Green and Greene",Pune,Closed,ci/cd blockchain scrum,False,Mid-Level,Medium,Good
P351,E301,0.4766593092636978,3,Cloud Engineering,4.3,Delhi,"Peterson, Green and Greene",Pune,Closed,ci/cd blockchain scrum,False,Mid-Level,Medium,Good
P351,E1077,0.4646502364938411,4,Cloud Engineering,7.7,Delhi,"Peterson, Green and Greene",Pune,Closed,ci/cd blockchain scrum,False,Senior,Medium,Good
P351,E934,0.46295163398245126,5,Cloud Engineering,8.1,Chennai,"Peterson, Green and Greene",Pune,Closed,ci/cd blockchain scrum,False,Senior,Medium,Good
P391,E751,0.5621723300978176,1,Cybersecurity,10.9,Mumbai,"Lane, Woodward and Martinez",Mumbai,Open,aws data warehousing tensorflow,True,Senior,Medium,Good
P391,E731,0.5602011128698883,2,Cybersecurity,7.3,Delhi,"Lane, Woodward and Martinez",Mumbai,Open,aws data warehousing tensorflow,False,Senior,Medium,Good
P391,E662,0.5588099972632231,3,DevOps,14.3,Pune,"Lane, Woodward and Martinez",Mumbai,Open,aws data warehousing tensorflow,False,Expert,Medium,Good
P391,E1043,0.4509554887434898,4,Cybersecurity,10.3,Pune,"Lane, Woodward and Martinez",Mumbai,Open,aws data warehousing tensorflow,False,Senior,Medium,Good
P391,E564,0.4501515733178182,5,Cybersecurity,3.4,Mumbai,"Lane, Woodward and Martinez",Mumbai,Open,aws data warehousing tensorflow,True,Mid-Level,Medium,Good
P322,E198,0.6572943240528086,1,DevOps,12.2,Chennai,"Newton, Goodwin and Sims",Mumbai,Open,data engineering cybersecurity python,False,Expert,High,Good
P322,E844,0.651784086037219,2,DevOps,7.3,Delhi,"Newton, Goodwin and Sims",Mumbai,Open,data engineering cybersecurity python,False,Senior,High,Good
P322,E999,0.6295940404414472,3,Data Science,10.1,Mumbai,"Newton, Goodwin and Sims",Mumbai,Open,data engineering cybersecurity python,True,Senior,High,Strong
P322,E240,0.5361658158613675,4,Data Science,12.8,Pune,"Newton, Goodwin and Sims",Mumbai,Open,data engineering cybersecurity python,False,Expert,Medium,Good
P322,E708,0.4900528438812477,5,Cybersecurity,13.3,Pune,"Newton, Goodwin and Sims",Mumbai,Open,data engineering cybersecurity python,False,Expert,Medium,Good
P350,E185,0.6668468647752686,1,Cybersecurity,10.9,Chennai,Perez-Miller,Delhi,Closed,data warehousing edge computing ci/cd pipelines,False,Senior,High,Good
P350,E545,0.5475678479370195,2,Cloud Engineering,3.3,Chennai,Perez-Miller,Delhi,Closed,data warehousing edge computing ci/cd pipelines,False,Mid-Level,Medium,Good
P350,E620,0.5397080351410289,3,DevOps,10.8,Mumbai,Perez-Miller,Delhi,Closed,data warehousing edge computing ci/cd pipelines,False,Senior,Medium,Good
P350,E878,0.48679891377357853,4,AI Research,9.6,Mumbai,Perez-Miller,Delhi,Closed,data warehousing edge computing ci/cd pipelines,False,Senior,Medium,Good
P350,E1035,0.45665088856638786,5,Software Development,12.2,Mumbai,Perez-Miller,Delhi,Closed,data warehousing edge computing ci/cd pipelines,False,Expert,Medium,Good
P374,E789,0.6246343263736323,1,Data Science,12.0,Chennai,"Ross, Gray and Lopez",Delhi,Closed,penetration testing agile project management tensorflow,False,Expert,High,Good
P374,E762,0.6072453832229874,2,Cloud Engineering,9.3,Delhi,"Ross, Gray and Lopez",Delhi,Closed,penetration testing agile project management tensorflow,True,Senior,High,Strong
P374,E201,0.5551181991472893,3,Data Science,13.4,Pune,"Ross, Gray and Lopez",Delhi,Closed,penetration testing agile project management tensorflow,False,Expert,Medium,Good
P374,E828,0.5469747212936535,4,AI Research,8.4,Mumbai,"Ross, Gray and Lopez",Delhi,Closed,penetration testing agile project management tensorflow,False,Senior,Medium,Good
P374,E1017,0.5178570131181446,5,Software Development,14.8,Pune,"Ross, Gray and Lopez",Delhi,Closed,penetration testing agile project management tensorflow,False,Expert,Medium,Good
P373,E418,0.5904374082330429,1,Cloud Engineering,3.1,Delhi,Fischer-Thomas,Delhi,Closed,node js postgresql azure,True,Mid-Level,Medium,Good
P373,E472,0.5814072696068902,2,AI Research,12.8,Pune,Fischer-Thomas,Delhi,Closed,node js postgresql azure,False,Expert,Medium,Good
P373,E996,0.4977528503147144,3,Data Science,14.1,Mumbai,Fischer-Thomas,Delhi,Closed,node js postgresql azure,False,Expert,Medium,Good
P373,E532,0.3732907612946351,4,DevOps,12.8,Chennai,Fischer-Thomas,Delhi,Closed,node js postgresql azure,False,Expert,Medium,Fair
P373,E300,0.3613998326008737,5,Cybersecurity,6.7,Chennai,Fischer-Thomas,Delhi,Closed,node js postgresql azure,False,Mid-Level,Medium,Fair
P329,E334,0.6270609520818539,1,Cloud Engineering,11.6,Chennai,"Bowman, Sanchez and Lowe",Pune,Open,net scrum methodology serverless architecture,False,Senior,High,Good
P329,E350,0.5677384358226316,2,Data Science,13.7,Mumbai,"Bowman, Sanchez and Lowe",Pune,Open,net scrum methodology serverless architecture,False,Expert,Medium,Good
P329,E791,0.48435904614088754,3,Cloud Engineering,6.7,Chennai,"Bowman, Sanchez and Lowe",Pune,Open,net scrum methodology serverless architecture,False,Mid-Level,Medium,Good
P329,E328,0.4565541135977744,4,Data Science,8.8,Pune,"Bowman, Sanchez and Lowe",Pune,Open,net scrum methodology serverless architecture,True,Senior,Medium,Good
P329,E399,0.4470457834846235,5,Software Development,13.7,Delhi,"Bowman, Sanchez and Lowe",Pune,Open,net scrum methodology serverless architecture,False,Expert,Medium,Good
P360,E1070,0.6341938823102323,1,DevOps,11.2,Chennai,Meyers LLC,Pune,Open,python aws data quality management,False,Senior,High,Good
P360,E921,0.5893789622498021,2,DevOps,3.3,Chennai,Meyers LLC,Pune,Open,python aws data quality management,False,Mid-Level,Medium,Good
P360,E117,0.5783860795583956,3,AI Research,9.1,Pune,Meyers LLC,Pune,Open,python aws data quality management,True,Senior,Medium,Good
P360,E330,0.4982409397956966,4,Cloud Engineering,13.3,Delhi,Meyers LLC,Pune,Open,python aws data quality management,False,Expert,Medium,Good
P360,E968,0.49512063351300023,5,Data Science,13.7,Mumbai,Meyers LLC,Pune,Open,python aws data quality management,False,Expert,Medium,Good
P327,E969,0.7735126375335828,1,AI Research,3.0,Mumbai,Chung-Alvarez,Delhi,Closed,tensorflow penetration testing devops practices,False,Mid-Level,High,Good
