Project_ID,Employee_ID,Similarity_Score,Rank,Department,Years_Experience,Location_Employee,Client_Name,Location_Project,Status,Required_Skills,Location_Match,Experience_Level,Similarity_Category,Recommendation_Strength
P353,E963,0.44100600557475156,1,Cybersecurity,11.5,Pune,Lewis Group,Delhi,Closed,"Mobile Development, Microservices, NoSQL",False,Senior,Medium,Good
P353,E689,0.37915671566794307,2,Cybersecurity,13.4,Pune,Lewis Group,Delhi,Closed,"Mobile Development, Microservices, NoSQL",False,Expert,Medium,Fair
P353,E827,0.34264399402522083,3,Full Stack Dev,7.0,Pune,Lewis Group,Delhi,Closed,"Mobile Development, Microservices, NoSQL",False,Senior,Medium,Fair
P353,E763,0.340767518860164,4,Data Science,5.6,Delhi,Lewis Group,Delhi,Closed,"Mobile Development, Microservices, NoSQL",True,Mid-Level,Medium,Fair
P353,E458,0.3388171117038827,5,Cloud Engineering,9.8,Pune,Lewis Group,Delhi,Closed,"Mobile Development, Microservices, NoSQL",False,Senior,Medium,Fair
P378,E238,0.32437471058500755,1,Data Science,8.7,Delhi,Torres-Wong,Delhi,Closed,"DevOps Practices, Kubernetes, AWS",True,Senior,Medium,Fair
P378,E861,0.32302351876266666,2,Full Stack Dev,12.4,Chennai,Torres-Wong,Delhi,Closed,"DevOps Practices, Kubernetes, AWS",False,Expert,Medium,Fair
P378,E724,0.2995412226081814,3,DevOps,8.2,Delhi,Torres-Wong,Delhi,Closed,"DevOps Practices, Kubernetes, AWS",True,Senior,Low,Fair
P378,E839,0.2662524677920615,4,Data Science,7.0,Chennai,Torres-Wong,Delhi,Closed,"DevOps Practices, Kubernetes, AWS",False,Senior,Low,Fair
P378,E1079,0.26590884588495856,5,AI Research,13.1,Pune,Torres-Wong,Delhi,Closed,"DevOps Practices, Kubernetes, AWS",False,Expert,Low,Fair
P327,E1092,0.2851689292612707,1,Cloud Engineering,4.4,Mumbai,Chung-Alvarez,Delhi,Closed,"TensorFlow, Penetration Testing, DevOps Practices",False,Mid-Level,Low,Fair
P327,E575,0.22935541683841967,2,Full Stack Dev,12.3,Mumbai,Chung-Alvarez,Delhi,Closed,"TensorFlow, Penetration Testing, DevOps Practices",False,Expert,Low,Fair
P327,E608,0.22875078581860503,3,AI Research,5.4,Pune,Chung-Alvarez,Delhi,Closed,"TensorFlow, Penetration Testing, DevOps Practices",False,Mid-Level,Low,Fair
P327,E904,0.22849701235515407,4,Cloud Engineering,11.5,Mumbai,Chung-Alvarez,Delhi,Closed,"TensorFlow, Penetration Testing, DevOps Practices",False,Senior,Low,Fair
P327,E1067,0.22270220967525933,5,DevOps,3.6,Mumbai,Chung-Alvarez,Delhi,Closed,"TensorFlow, Penetration Testing, DevOps Practices",False,Mid-Level,Low,Fair
P365,E684,0.18333619620970273,1,Full Stack Dev,10.0,Delhi,"Hill, Adams and May",Delhi,Open,"Network Security, Quantum Computing, NoSQL Database Management",True,Senior,Low,Fair
P365,E313,0.1749974392951991,2,AI Research,14.5,Mumbai,"Hill, Adams and May",Delhi,Open,"Network Security, Quantum Computing, NoSQL Database Management",False,Expert,Low,Fair
P365,E510,0.16884953357343618,3,AI Research,4.1,Mumbai,"Hill, Adams and May",Delhi,Open,"Network Security, Quantum Computing, NoSQL Database Management",False,Mid-Level,Low,Fair
P365,E511,0.15315671420070323,4,Cybersecurity,8.7,Chennai,"Hill, Adams and May",Delhi,Open,"Network Security, Quantum Computing, NoSQL Database Management",False,Senior,Low,Fair
P365,E225,0.14461046585416462,5,AI Research,13.9,Pune,"Hill, Adams and May",Delhi,Open,"Network Security, Quantum Computing, NoSQL Database Management",False,Expert,Low,Fair
P328,E1054,0.36224923655614727,1,DevOps,7.3,Pune,"Garner, Doyle and Oliver",Chennai,Open,"Docker, Machine Learning, GraphQL",False,Senior,Medium,Fair
P328,E528,0.2867066097547898,2,Cybersecurity,13.7,Delhi,"Garner, Doyle and Oliver",Chennai,Open,"Docker, Machine Learning, GraphQL",False,Expert,Low,Fair
P328,E1088,0.24871567245016157,3,Data Science,14.1,Mumbai,"Garner, Doyle and Oliver",Chennai,Open,"Docker, Machine Learning, GraphQL",False,Expert,Low,Fair
P328,E300,0.24722302717813976,4,Cybersecurity,6.7,Chennai,"Garner, Doyle and Oliver",Chennai,Open,"Docker, Machine Learning, GraphQL",True,Mid-Level,Low,Fair
P328,E271,0.242821321086781,5,Cloud Engineering,8.1,Mumbai,"Garner, Doyle and Oliver",Chennai,Open,"Docker, Machine Learning, GraphQL",False,Senior,Low,Fair
P326,E1077,0.3758302581711044,1,Cloud Engineering,7.7,Delhi,Ramos-Smith,Delhi,Open,"Big Data, CI/CD Pipelines, Scrum",True,Senior,Medium,Fair
P326,E462,0.3471011333522881,2,AI Research,3.9,Mumbai,Ramos-Smith,Delhi,Open,"Big Data, CI/CD Pipelines, Scrum",False,Mid-Level,Medium,Fair
P326,E636,0.3101348536202388,3,Cloud Engineering,4.0,Mumbai,Ramos-Smith,Delhi,Open,"Big Data, CI/CD Pipelines, Scrum",False,Mid-Level,Medium,Fair
P326,E712,0.2999167862847456,4,AI Research,9.2,Mumbai,Ramos-Smith,Delhi,Open,"Big Data, CI/CD Pipelines, Scrum",False,Senior,Low,Fair
P326,E281,0.2971179743731432,5,Cloud Engineering,13.3,Delhi,Ramos-Smith,Delhi,Open,"Big Data, CI/CD Pipelines, Scrum",True,Expert,Low,Fair
P308,E631,0.19698105929231194,1,AI Research,13.8,Chennai,Mathis Group,Chennai,Open,"Network Security, SQL Database Management, Big Data",True,Expert,Low,Fair
P308,E178,0.18916126104075892,2,Full Stack Dev,4.8,Pune,Mathis Group,Chennai,Open,"Network Security, SQL Database Management, Big Data",False,Mid-Level,Low,Fair
P308,E298,0.17544199185943204,3,Data Science,13.7,Chennai,Mathis Group,Chennai,Open,"Network Security, SQL Database Management, Big Data",True,Expert,Low,Fair
P308,E242,0.16503823041562043,4,Full Stack Dev,5.3,Chennai,Mathis Group,Chennai,Open,"Network Security, SQL Database Management, Big Data",True,Mid-Level,Low,Fair
P308,E951,0.1524607411853334,5,Cloud Engineering,8.6,Pune,Mathis Group,Chennai,Open,"Network Security, SQL Database Management, Big Data",False,Senior,Low,Fair
P317,E690,0.20427334636018613,1,Full Stack Dev,12.3,Delhi,"Thomas, Schneider and Contreras",Pune,Open,"Real-time Data Processing, CI/CD Pipelines, Agile Project Management",False,Expert,Low,Fair
P317,E400,0.19991322256510993,2,Cloud Engineering,4.5,Mumbai,"Thomas, Schneider and Contreras",Pune,Open,"Real-time Data Processing, CI/CD Pipelines, Agile Project Management",False,Mid-Level,Low,Fair
P317,E594,0.1694634286616328,3,Full Stack Dev,13.9,Pune,"Thomas, Schneider and Contreras",Pune,Open,"Real-time Data Processing, CI/CD Pipelines, Agile Project Management",True,Expert,Low,Fair
P317,E471,0.16387063504825858,4,Data Science,7.2,Pune,"Thomas, Schneider and Contreras",Pune,Open,"Real-time Data Processing, CI/CD Pipelines, Agile Project Management",True,Senior,Low,Fair
P317,E612,0.16336743855378813,5,DevOps,14.8,Mumbai,"Thomas, Schneider and Contreras",Pune,Open,"Real-time Data Processing, CI/CD Pipelines, Agile Project Management",False,Expert,Low,Fair
P339,E689,0.31033854494483376,1,Cybersecurity,13.4,Pune,"Wheeler, Lewis and Nash",Pune,Closed,"Microservices, GraphQL API Development, NoSQL Database Management",True,Expert,Medium,Fair
P339,E175,0.2979693223209341,2,AI Research,9.1,Delhi,"Wheeler, Lewis and Nash",Pune,Closed,"Microservices, GraphQL API Development, NoSQL Database Management",False,Senior,Low,Fair
P339,E345,0.2869788546551738,3,Cloud Engineering,13.4,Delhi,"Wheeler, Lewis and Nash",Pune,Closed,"Microservices, GraphQL API Development, NoSQL Database Management",False,Expert,Low,Fair
P339,E825,0.2734567825778692,4,Cloud Engineering,10.4,Delhi,"Wheeler, Lewis and Nash",Pune,Closed,"Microservices, GraphQL API Development, NoSQL Database Management",False,Senior,Low,Fair
P339,E827,0.26456706439254435,5,Full Stack Dev,7.0,Pune,"Wheeler, Lewis and Nash",Pune,Closed,"Microservices, GraphQL API Development, NoSQL Database Management",True,Senior,Low,Fair
P386,E207,0.3762894209626607,1,Full Stack Dev,7.5,Chennai,Roberts Inc,Chennai,Open,"CI/CD, Docker, Data Warehousing",True,Senior,Medium,Fair
P386,E636,0.3474876902781383,2,Cloud Engineering,4.0,Mumbai,Roberts Inc,Chennai,Open,"CI/CD, Docker, Data Warehousing",False,Mid-Level,Medium,Fair
P386,E1088,0.2860024720278791,3,Data Science,14.1,Mumbai,Roberts Inc,Chennai,Open,"CI/CD, Docker, Data Warehousing",False,Expert,Low,Fair
P386,E300,0.28458302275817954,4,Cybersecurity,6.7,Chennai,Roberts Inc,Chennai,Open,"CI/CD, Docker, Data Warehousing",True,Mid-Level,Low,Fair
P386,E528,0.2834534634220248,5,Cybersecurity,13.7,Delhi,Roberts Inc,Chennai,Open,"CI/CD, Docker, Data Warehousing",False,Expert,Low,Fair
P307,E765,0.3139818028182373,1,Full Stack Dev,13.9,Mumbai,"Lawson, Kelly and Edwards",Pune,Closed,"Scrum, Data Engineering, NoSQL Database Management",False,Expert,Medium,Fair
P307,E1037,0.3108883803395967,2,DevOps,11.5,Pune,"Lawson, Kelly and Edwards",Pune,Closed,"Scrum, Data Engineering, NoSQL Database Management",True,Senior,Medium,Fair
P307,E329,0.295110903568021,3,Cloud Engineering,9.8,Delhi,"Lawson, Kelly and Edwards",Pune,Closed,"Scrum, Data Engineering, NoSQL Database Management",False,Senior,Low,Fair
P307,E832,0.2915174096642109,4,Data Science,10.8,Pune,"Lawson, Kelly and Edwards",Pune,Closed,"Scrum, Data Engineering, NoSQL Database Management",True,Senior,Low,Fair
P307,E541,0.2883999846868875,5,AI Research,5.2,Chennai,"Lawson, Kelly and Edwards",Pune,Closed,"Scrum, Data Engineering, NoSQL Database Management",False,Mid-Level,Low,Fair
P315,E1018,0.2752371739367566,1,Full Stack Dev,10.9,Delhi,Riggs PLC,Pune,Open,"Java, SQL Database Management, Jenkins",False,Senior,Low,Fair
P315,E946,0.2748578152072771,2,Cloud Engineering,12.3,Delhi,Riggs PLC,Pune,Open,"Java, SQL Database Management, Jenkins",False,Expert,Low,Fair
P315,E144,0.258506391103855,3,Data Science,6.1,Pune,Riggs PLC,Pune,Open,"Java, SQL Database Management, Jenkins",True,Mid-Level,Low,Fair
P315,E264,0.2375873555747759,4,Full Stack Dev,11.7,Mumbai,Riggs PLC,Pune,Open,"Java, SQL Database Management, Jenkins",False,Senior,Low,Fair
P315,E304,0.23673140431147774,5,Full Stack Dev,12.5,Delhi,Riggs PLC,Pune,Open,"Java, SQL Database Management, Jenkins",False,Expert,Low,Fair
P394,E421,0.2892616396420601,1,AI Research,10.1,Pune,Morris-Willis,Chennai,Open,"Jenkins, Data Engineering, Mobile Development",False,Senior,Low,Fair
P394,E451,0.28076925209179265,2,Full Stack Dev,13.3,Chennai,Morris-Willis,Chennai,Open,"Jenkins, Data Engineering, Mobile Development",True,Expert,Low,Fair
P394,E264,0.23506656966627373,3,Full Stack Dev,11.7,Mumbai,Morris-Willis,Chennai,Open,"Jenkins, Data Engineering, Mobile Development",False,Senior,Low,Fair
P394,E304,0.23424857338546037,4,Full Stack Dev,12.5,Delhi,Morris-Willis,Chennai,Open,"Jenkins, Data Engineering, Mobile Development",False,Expert,Low,Fair
