Project_ID,Total_Recommendations,Avg_Similarity,Max_Similarity,Min_Similarity,Avg_Employee_Experience,Same_Location_Count
P301,5,0.3773,0.5041,0.3049,13.58,0
P302,5,0.242,0.3178,0.2194,7.36,2
P303,5,0.2645,0.2995,0.2366,9.1,1
P304,5,0.3254,0.4331,0.263,10.6,3
P305,5,0.3088,0.4721,0.2449,10.9,1
P306,5,0.2939,0.361,0.2643,10.08,2
P307,5,0.3,0.314,0.2884,10.24,2
P308,5,0.1758,0.197,0.1525,9.24,3
P309,5,0.285,0.3022,0.2754,9.52,2
P310,5,0.1828,0.2019,0.1531,9.56,1
P311,5,0.342,0.5105,0.2657,9.1,3
P312,5,0.378,0.4049,0.3447,12.42,0
P313,5,0.3072,0.3243,0.2814,11.22,1
P314,5,0.3144,0.347,0.2894,11.28,2
P315,5,0.2566,0.2752,0.2367,10.7,1
P316,5,0.2896,0.3289,0.2742,8.76,1
P317,5,0.1802,0.2043,0.1634,10.54,2
P318,5,0.3062,0.3829,0.2597,8.64,2
P319,5,0.2675,0.3059,0.2522,11.16,2
P320,5,0.1842,0.2039,0.1637,9.38,2
P321,5,0.2934,0.3295,0.2753,8.72,3
P322,5,0.2708,0.3125,0.2392,9.34,1
P323,5,0.4006,0.4785,0.3717,6.8,2
P324,5,0.3472,0.4766,0.288,8.98,2
P325,5,0.2712,0.3136,0.2509,7.56,1
P326,5,0.326,0.3758,0.2971,7.62,2
P327,5,0.2389,0.2852,0.2227,7.44,0
P328,5,0.2775,0.3622,0.2428,9.98,1
P329,5,0.2927,0.3383,0.2379,11.14,2
P330,5,0.2671,0.317,0.2376,10.86,2
P331,5,0.3641,0.4601,0.3017,9.46,1
P332,5,0.3685,0.4596,0.2778,10.42,1
P333,5,0.3121,0.3266,0.3003,8.5,2
P334,5,0.2864,0.3549,0.2429,8.0,0
P335,5,0.342,0.3671,0.2735,7.4,1
P336,5,0.2921,0.3198,0.2605,9.16,1
P337,5,0.3795,0.4019,0.3466,10.96,0
P338,5,0.3616,0.4924,0.2806,10.22,0
P339,5,0.2867,0.3103,0.2646,10.66,2
P340,5,0.3855,0.4858,0.2959,11.46,3
P341,5,0.3228,0.3475,0.2871,11.26,0
P342,5,0.3226,0.3458,0.2975,6.78,1
P343,5,0.4013,0.4274,0.3813,10.04,3
P344,5,0.3002,0.3644,0.2491,6.06,1
P345,5,0.1698,0.1859,0.1594,9.96,3
P346,5,0.312,0.391,0.2891,7.0,1
P347,5,0.3054,0.3584,0.2535,9.98,2
P348,5,0.4124,0.4638,0.3675,11.3,1
P349,5,0.1742,0.2094,0.1646,6.92,0
P350,5,0.1732,0.2094,0.1505,6.14,1
P351,5,0.3958,0.5524,0.3473,5.82,0
P352,5,0.1737,0.1998,0.1469,9.46,1
P353,5,0.3685,0.441,0.3388,9.46,1
P354,5,0.4118,0.446,0.367,10.1,3
P355,5,0.3062,0.3455,0.2552,7.36,1
P356,5,0.1566,0.2003,0.1364,9.72,2
P357,5,0.1832,0.212,0.1683,8.2,2
P358,5,0.2546,0.2698,0.2417,9.52,1
P359,5,0.288,0.3587,0.2424,8.9,0
P360,5,0.3459,0.441,0.2608,8.46,2
P361,5,0.1732,0.2032,0.1451,6.04,1
P362,5,0.2443,0.3203,0.2205,12.38,1
P363,5,0.2797,0.322,0.2561,7.4,1
P364,5,0.2428,0.2929,0.2261,8.44,1
P365,5,0.165,0.1833,0.1446,10.24,1
P366,5,0.2823,0.3249,0.2313,10.56,1
P367,5,0.3056,0.429,0.2415,11.92,0
P368,5,0.3988,0.5318,0.3375,9.42,1
P369,5,0.2631,0.296,0.2343,10.58,1
P370,5,0.3194,0.3462,0.295,9.68,1
P371,5,0.2913,0.366,0.2412,10.64,2
P372,5,0.2492,0.2975,0.2323,7.54,3
P373,5,0.4144,0.5729,0.334,9.48,1
P374,5,0.233,0.2724,0.2199,9.12,0
P375,5,0.1744,0.1943,0.1556,11.08,0
P376,5,0.3965,0.4855,0.3563,8.28,1
P377,5,0.2662,0.3371,0.22,8.56,1
P378,5,0.2958,0.3244,0.2659,9.88,2
P379,5,0.2453,0.2827,0.221,9.28,1
P380,5,0.4073,0.5122,0.3359,6.88,0
P381,5,0.164,0.1742,0.1437,8.78,1
P382,5,0.3424,0.3587,0.3175,5.86,2
P383,5,0.2808,0.3003,0.2565,9.12,1
P384,5,0.2504,0.2718,0.2446,7.94,1
P385,5,0.178,0.206,0.1659,11.08,2
P386,5,0.3156,0.3763,0.2835,9.2,2
P387,5,0.316,0.3381,0.2813,6.16,1
P388,5,0.2431,0.2632,0.2281,5.76,2
P389,5,0.1666,0.1846,0.1478,10.56,4
P390,5,0.2462,0.3225,0.2218,7.96,1
P391,5,0.2523,0.2769,0.2443,11.24,3
P392,5,0.2675,0.3284,0.2301,9.72,2
P393,5,0.3542,0.4524,0.2334,9.66,1
P394,5,0.254,0.2893,0.2308,11.34,1
P395,5,0.1758,0.2078,0.1593,9.66,1
P396,5,0.2967,0.3376,0.2561,11.28,1
P397,5,0.3885,0.4799,0.3186,5.96,1
P398,5,0.332,0.43,0.2947,9.4,1
P399,5,0.2841,0.3202,0.2601,13.24,0
P400,5,0.2008,0.2415,0.1818,8.68,0
