Project_ID,Employee_ID,Similarity_Score,Rank,Department,Years_Experience,Location_Employee,Client_Name,Location_Project,Status,Required_Skills,Location_Match,Experience_Level,Similarity_Category,Recommendation_Strength
P398,E421,0.6271479650550942,1,AI Research,10.1,Pune,"Howell, Herrera and Torres",Mumbai,Open,devops practices iot jenkins,False,Senior,High,Good
P344,E966,0.788021973516561,1,DevOps,14.8,Delhi,Gray-Crawford,Delhi,Closed,net real-time data processing blockchain,True,Expert,High,Strong
P351,E962,0.612011195900288,1,Cybersecurity,5.8,Chennai,"Peterson, Green and Greene",Pune,Closed,ci/cd blockchain scrum,False,Mid-Level,High,Good
P391,E751,0.5621723300978176,1,Cybersecurity,10.9,Mumbai,"Lane, Woodward and Martinez",Mumbai,Open,aws data warehousing tensorflow,True,Senior,Medium,Good
P322,E198,0.6572943240528086,1,DevOps,12.2,Chennai,"Newton, Goodwin and Sims",Mumbai,Open,data engineering cybersecurity python,False,Expert,High,Good
P350,E185,0.6668468647752686,1,Cybersecurity,10.9,Chennai,Perez-Miller,Delhi,Closed,data warehousing edge computing ci/cd pipelines,False,Senior,High,Good
P374,E789,0.6246343263736323,1,Data Science,12.0,Chennai,"Ross, Gray and Lopez",Delhi,Closed,penetration testing agile project management tensorflow,False,Expert,High,Good
P373,E418,0.5904374082330429,1,Cloud Engineering,3.1,Delhi,Fischer-Thomas,Delhi,Closed,node js postgresql azure,True,Mid-Level,Medium,Good
P329,E334,0.6270609520818539,1,Cloud Engineering,11.6,Chennai,"Bowman, Sanchez and Lowe",Pune,Open,net scrum methodology serverless architecture,False,Senior,High,Good
P360,E1070,0.6341938823102323,1,DevOps,11.2,Chennai,Meyers LLC,Pune,Open,python aws data quality management,False,Senior,High,Good
P327,E969,0.7735126375335828,1,AI Research,3.0,Mumbai,Chung-Alvarez,Delhi,Closed,tensorflow penetration testing devops practices,False,Mid-Level,High,Good
P363,E842,0.7151227678809873,1,Software Development,3.3,Delhi,"Banks, Johnson and Branch",Mumbai,Open,graphql incident response rest apis,False,Mid-Level,High,Good
P379,E809,0.5402959917431053,1,AI Research,11.5,Mumbai,"Johnson, Jefferson and Sanchez",Pune,Open,java mobile development incident response,False,Senior,Medium,Good
P313,E189,0.7974943317854163,1,DevOps,4.1,Pune,Hanna Inc,Mumbai,Closed,nosql devops practices sql database management,False,Mid-Level,High,Good
P302,E735,0.5944448113706053,1,Software Development,5.9,Chennai,"Cunningham, Anderson and Fernandez",Pune,Open,cloud security container orchestration python,False,Mid-Level,Medium,Good
P371,E536,0.658600375649076,1,Cloud Engineering,10.4,Mumbai,"Smith, Reid and Hernandez",Mumbai,Open,healthcare analytics data governance agile,True,Senior,High,Strong
P336,E950,0.7435663709659268,1,AI Research,9.0,Mumbai,"Lee, Berry and Li",Delhi,Closed,nosql database management sql data quality management,False,Senior,High,Good
P331,E121,0.6606406908677347,1,Data Science,9.1,Delhi,Williams-Sharp,Chennai,Closed,agile data visualization azure,False,Senior,High,Good
P382,E288,0.6445595481677855,1,Cybersecurity,13.9,Pune,Reid PLC,Pune,Open,blockchain ci/cd rest apis,True,Expert,High,Strong
P378,E969,0.5908158304799132,1,AI Research,3.0,Mumbai,Torres-Wong,Delhi,Closed,devops practices kubernetes aws,False,Mid-Level,Medium,Good
