Project_ID,Client_Name,Project_Description,Required_Skills,Location,Status,Skill_List
P301,Byrd Ltd,"Looking for expertise in SQL Database Management, Docker, and NoSQL to work on a network security project.","SQL Database Management, Docker, NoSQL",Delhi,Closed,"['sql database management', 'docker', 'nosql']"
P302,"Cunningham, Anderson and Fernandez","Looking for expertise in Cloud Security, Container Orchestration, and Python to work on a network infrastructure project.","Cloud Security, Container Orchestration, Python",Pune,Open,"['cloud security', 'container orchestration', 'python']"
P303,"Mata, Mclean and Jones","Looking for expertise in React, Mobile Development, and Microservices Architecture to work on a serverless architecture project.","React, Mobile Development, Microservices Architecture",Mumbai,Closed,"['react', 'mobile development', 'microservices architecture']"
P304,Rodriguez-Dominguez,"Looking for expertise in Edge Computing, Jenkins, and IoT to work on a blockchain integration project.","Edge Computing, Jenkins, IoT",Chennai,Closed,"['edge computing', 'jenkins', 'iot']"
P305,Medina-Maldonado,"Looking for expertise in Terraform, SQL Database Management, and NLP to work on a GraphQL API development project.","Terraform, SQL Database Management, NLP",Mumbai,Open,"['terraform', 'sql database management', 'nlp']"
P306,"Noble, Rosales and Marshall","Looking for expertise in Azure, Penetration Testing, and CI/CD Pipelines to work on a web application development project.","Azure, Penetration Testing, CI/CD Pipelines",Mumbai,Open,"['azure', 'penetration testing']"
P307,"Lawson, Kelly and Edwards","Looking for expertise in Scrum, Data Engineering, and NoSQL Database Management to work on a data privacy compliance project.","Scrum, Data Engineering, NoSQL Database Management",Pune,Closed,"['scrum', 'data engineering', 'nosql database management']"
P308,Mathis Group,"Looking for expertise in Network Security, SQL Database Management, and Big Data to work on a CI/CD pipelines project.","Network Security, SQL Database Management, Big Data",Chennai,Open,"['network security', 'sql database management', 'big data']"
P309,Todd-Rosales,"Looking for expertise in Scrum Methodology, Blockchain, and Java to work on a NoSQL database management project.","Scrum Methodology, Blockchain, Java",Pune,Closed,"['scrum methodology', 'blockchain', 'java']"
P310,Dawson and Sons,"Looking for expertise in Data Engineering, Edge Computing, and Container Orchestration to work on a GraphQL API development project.","Data Engineering, Edge Computing, Container Orchestration",Mumbai,Closed,"['data engineering', 'edge computing', 'container orchestration']"
P311,Garcia-Hernandez,"Looking for expertise in TensorFlow, Scrum, and Jenkins to work on a scrum methodology project.","TensorFlow, Scrum, Jenkins",Pune,Open,"['tensorflow', 'scrum', 'jenkins']"
P312,Welch Inc,"Looking for expertise in REST APIs, NoSQL, and Scrum to work on a automation pipeline project.","REST APIs, NoSQL, Scrum",Delhi,Open,"['rest apis', 'nosql', 'scrum']"
P313,Hanna Inc,"Looking for expertise in NoSQL, DevOps Practices, and SQL Database Management to work on a microservices architecture project.","NoSQL, DevOps Practices, SQL Database Management",Mumbai,Closed,"['nosql', 'devops practices', 'sql database management']"
P314,Robbins PLC,"Looking for expertise in Microservices, CI/CD, and Scrum Methodology to work on a data engineering project.","Microservices, CI/CD, Scrum Methodology",Delhi,Closed,"['microservices', 'scrum methodology']"
P315,Riggs PLC,"Looking for expertise in Java, SQL Database Management, and Jenkins to work on a big data processing project.","Java, SQL Database Management, Jenkins",Pune,Open,"['java', 'sql database management', 'jenkins']"
P316,Lutz-King,"Looking for expertise in Mobile Development, TensorFlow, and CI/CD to work on a DevOps practices project.","Mobile Development, TensorFlow, CI/CD",Delhi,Open,"['mobile development', 'tensorflow']"
P317,"Thomas, Schneider and Contreras","Looking for expertise in Real-time Data Processing, CI/CD Pipelines, and Agile Project Management to work on a SQL database management project.","Real-time Data Processing, CI/CD Pipelines, Agile Project Management",Pune,Open,"['real-time data processing', 'agile project management']"
P318,"Gonzalez, Dean and Wood","Looking for expertise in Robotic Process Automation, Jenkins, and PostgreSQL to work on a cloud security project.","Robotic Process Automation, Jenkins, PostgreSQL",Pune,Closed,"['robotic process automation', 'jenkins', 'postgresql']"
P319,Williams Ltd,"Looking for expertise in AWS, React, and Quantum Computing to work on a RESTful API design project.","AWS, React, Quantum Computing",Mumbai,Open,"['aws', 'react', 'quantum computing']"
P320,"Fitzpatrick, Smith and Michael","Looking for expertise in Business Intelligence, DevOps Practices, and API Development to work on a quantum computing project.","Business Intelligence, DevOps Practices, API Development",Chennai,Closed,"['business intelligence', 'devops practices', 'api development']"
P321,Taylor Ltd,"Looking for expertise in Data Visualization, Quantum Computing, and NLP to work on a Full Stack Development project.","Data Visualization, Quantum Computing, NLP",Delhi,Open,"['data visualization', 'quantum computing', 'nlp']"
P322,"Newton, Goodwin and Sims","Looking for expertise in Data Engineering, Cybersecurity, and Python to work on a fraud detection project.","Data Engineering, Cybersecurity, Python",Mumbai,Open,"['data engineering', 'cybersecurity', 'python']"
P323,Fuentes-Potter,"Looking for expertise in Docker, Python, and CI/CD to work on a cloud migration project.","Docker, Python, CI/CD",Delhi,Closed,"['docker', 'python']"
P324,Garza and Sons,"Looking for expertise in TensorFlow, Scrum, and Machine Learning to work on a data warehousing project.","TensorFlow, Scrum, Machine Learning",Chennai,Open,"['tensorflow', 'scrum', 'machine learning']"
P325,Ortega Group,"Looking for expertise in AWS, Kubernetes, and Container Orchestration to work on a fraud detection project.","AWS, Kubernetes, Container Orchestration",Delhi,Open,"['aws', 'kubernetes', 'container orchestration']"
